years_of_experience,functional_competency_score,top1_skills_score,behavior_competency_score,top1_behavior_skill_score,call_for_interview
0.333333333,0.749497778,0.777777778,0.769230769,0.931689359,Yes
0.133333333,0.490637778,0.777777778,0.153846154,0.352092743,No
0,0.460255556,0.444444444,0.051282051,0.052347023,No
0,0.507346667,0.555555556,0.384615385,0.309913221,No
0.4,0.66202,0.666666667,0.461538462,0.497928738,Yes
0.8,0.585157778,1,0.871794872,0.759200003,Yes
0.333333333,0.691946667,0.888888889,0.461538462,0.495587553,Yes
0,0.477886667,0.333333333,0.512820513,0.365087223,No
0.266666667,0.662735556,0.888888889,0.538461538,0.482059551,Yes
0.066666667,0.492875556,0.888888889,0.205128205,0.390003163,No
0.066666667,0.546535556,0.222222222,0.128205128,0.27439757,No
0,0.501477778,0.333333333,0.230769231,0.409270922,No
0,0.591208889,0.666666667,0.230769231,0.382344485,No
0.2,0.457837778,0.666666667,0.256410256,0.280428722,Yes
0.2,0.345197778,0.666666667,0.307692308,0.331345984,No
0,0.577046667,0.333333333,0.333333333,0.390495913,Yes
0,0.479308889,0.666666667,0.282051282,0.238107017,No
0.466666667,0.9071,1,0.974358974,0.940535992,Yes
0.8,0.726575556,1,0.948717949,0.800588389,Yes
0.866666667,0.695635556,1,0.769230769,0.767704228,Yes
0.4,0.222222222,0.888888889,0.538461538,0.282661653,Yes
0.2,0.41524,0.666666667,0.230769231,0.323464764,No
0,0.472764444,0.444444444,0.205128205,0.199371712,No
0.133333333,0.420657778,0.666666667,0.179487179,0.35091529,No
0.266666667,0.66708,0.888888889,0.564102564,0.502205577,Yes
0.466666667,0,1,0.512820513,0.358973876,Yes
0.266666667,0.72954,0.888888889,0.641025641,0.575499309,Yes
0,0.464048889,0.444444444,0.384615385,0.336341264,No
0,0.579955556,0.555555556,0.230769231,0.293095517,No
0.266666667,0.727248889,0.888888889,0.615384615,0.729778337,Yes
0,0.72304,0.555555556,0.512820513,0.582931372,Yes
0,0.528664444,0.777777778,0.179487179,0.297097941,Yes
0.466666667,0.111111111,1,0.820512821,0.594132212,Yes
0.2,0.532684444,0.333333333,0,0.023633077,No
0.266666667,0.661157778,0.666666667,0.58974359,0.550049109,No
0.666666667,0.816048889,1,0.871794872,0.831506352,Yes
0.466666667,0.77166,1,0.666666667,0.653948554,Yes
0.333333333,0.656655556,0.777777778,0.692307692,0.761652697,Yes
0.133333333,0.531686667,0.333333333,0.282051282,0.415091141,No
0.2,1,0.777777778,0.230769231,0.518290658,Yes
0.133333333,0.584128889,0.777777778,0.230769231,0.433468111,Yes
0.466666667,0.111111111,1,0.923076923,0.454382541,Yes
0.2,0.59606,0.777777778,0.179487179,0.347981208,Yes
0.4,0.614904444,0.888888889,0.512820513,0.451894142,Yes
0.333333333,0.662266667,0.777777778,0.564102564,0.689398382,Yes
0,0.404726667,0.666666667,0.230769231,0.302760246,No
0.4,0.672397778,0.888888889,0.564102564,0.696183777,Yes
0,0.47832,0.333333333,0.358974359,0.258095108,No
0.466666667,0.707835556,1,0.897435897,0.828132592,Yes
0.266666667,0.616624444,0.888888889,0.487179487,0.525819857,Yes
0.4,0.551075556,0.777777778,0.58974359,0.592341565,Yes
0.4,0.601846667,0.888888889,0.666666667,0.756770503,Yes
0.6,0.749904444,1,0.974358974,0.937392835,Yes
0.266666667,0.52016,0.777777778,0.641025641,0.493023847,Yes
0.333333333,0.551597778,0.888888889,0.58974359,0.648985179,Yes
0.4,0.600266667,0.777777778,0.564102564,0.617436322,Yes
0,0.444444444,0.222222222,0.076923077,0.191670419,No
0,0.417704444,0.333333333,0.358974359,0.483352826,No
0,0.574664444,0.444444444,0.333333333,0.291525249,No
0.266666667,1,1,0.717948718,0.84226338,Yes
0.466666667,0.681886667,1,0.717948718,0.642695815,Yes
0.466666667,0.861475556,1,0.871794872,0.857807779,Yes
0,0.393324444,0.555555556,0.307692308,0.386315337,No
0,0.499108889,0.666666667,0.256410256,0.232690051,Yes
0.8,0.649597778,1,0.743589744,0.760592137,Yes
0,0.472088889,0.555555556,0.230769231,0.442612819,No
0.333333333,0.5959,0.666666667,0.538461538,0.579696155,Yes
0.133333333,0.560726667,0.444444444,0.358974359,0.462500434,No
0.333333333,0.614684444,1,0.666666667,0.626160765,Yes
0,0.497815556,0.555555556,0.307692308,0.302670659,No
0,0.575246667,0.333333333,0.282051282,0.388840195,No
0,0.48924,0.666666667,0.205128205,0.278606218,Yes
0.066666667,0.389004444,0.555555556,0.205128205,0.111614795,Yes
0.066666667,0.333333333,0.555555556,0.179487179,0.288344009,No
0,0.511495556,0.333333333,0.076923077,0.051052175,No
0.066666667,0.4717,0.666666667,0.41025641,0.256490889,No
0.4,0.576164444,0.666666667,0.538461538,0.574968814,Yes
0,0.464324444,0.666666667,0.358974359,0.385090909,No
0.466666667,0.735395556,1,0.923076923,0.978377472,Yes
0.2,0.597737778,0.666666667,0.153846154,0.249016743,No
0,0.582657778,0.666666667,0.282051282,0.496978406,No
0.466666667,0.666666667,1,0.923076923,0.729616438,Yes
0.2,0.53354,0.333333333,0.307692308,0.458192477,Yes
0.866666667,0.71686,1,0.717948718,0.849395651,Yes
0.4,0.697746667,0.888888889,0.538461538,0.666693908,Yes
0.333333333,0.680366667,0.888888889,0.666666667,0.586052226,Yes
0.2,0.562715556,0.444444444,0.384615385,0.449287295,Yes
0.133333333,0.479637778,0.666666667,0.153846154,0.068447875,No
0.466666667,0.777777778,1,0.923076923,0.980708903,Yes
0.466666667,0.640126667,1,0.871794872,0.895632063,Yes
0,0.439228889,0.333333333,0.282051282,0.408049526,No
0.066666667,0.537024444,0.555555556,0.128205128,0.183887812,No
0.333333333,0.734328889,0.888888889,0.435897436,0.553756912,Yes
0.066666667,0.550166667,0.444444444,0.230769231,0.433633902,No
0.866666667,0.605966667,1,0.948717949,0.790874366,Yes
0,0.502477778,0.666666667,0.256410256,0.376687147,No
0.466666667,0.682484444,1,0.871794872,0.930554943,Yes
0,0.393064444,0.666666667,0.358974359,0.228934695,No
0.2,0.5307,0.666666667,0.179487179,0.365039838,No
0.333333333,0.626346667,0.888888889,0.564102564,0.494600653,Yes
0.266666667,0.700004444,0.666666667,0.538461538,0.618060144,Yes
0.133333333,0.563117778,0.444444444,0.512820513,0.551761157,Yes
0.2,0.505308889,0.555555556,0.051282051,0.238050136,No
0.466666667,0.8331,1,0.948717949,0.84189461,Yes
0.2,0.477806667,0.444444444,0.282051282,0.358958915,Yes
0.133333333,0.333333333,0.666666667,0.179487179,0.021493915,No
0.866666667,0.783388889,1,0.794871795,0.775092812,Yes
0,0.464504444,0.444444444,0.333333333,0.414833167,No
0,0.682108889,0.555555556,0.256410256,0.260482231,Yes
0.133333333,0.474726667,0.333333333,0.205128205,0.105724756,No
0.666666667,0.8664,1,0.897435897,0.992930547,Yes
0.2,0.457377778,0.777777778,0.230769231,0.344549694,Yes
0,0.463715556,0.666666667,0.282051282,0.193875616,No
0.4,0.666666667,0.888888889,0.692307692,0.735774367,Yes
0.2,0.570224444,0.666666667,0.333333333,0.435129734,Yes
0,0.61768,0.777777778,0.153846154,0.127777968,No
0.066666667,0.54776,0.333333333,0.384615385,0.27700247,No
0.733333333,0.641157778,1,0.897435897,0.912827368,Yes
0.333333333,0.687186667,0.222222222,0.58974359,0.473932261,Yes
0.066666667,0.534266667,0.777777778,0.205128205,0.213958883,Yes
0.466666667,0.222222222,1,0.871794872,0.628422459,Yes
0,0.502864444,0.555555556,0.128205128,0.358691206,No
0.733333333,0.888888889,1,0.897435897,0.857246365,Yes
0.133333333,0.57558,0.777777778,0.230769231,0.427474429,Yes
0.333333333,0.628086667,0.777777778,0.58974359,0.721578406,Yes
0.333333333,0.584,1,0.666666667,0.645126525,Yes
0.066666667,0.475435556,0.555555556,0.282051282,0.218227971,No
0.466666667,0.709877778,1,0.692307692,0.690473028,Yes
0,0.487668889,0.444444444,0.153846154,0.302559639,No
0.266666667,0.703037778,0.777777778,0.743589744,0.683403447,Yes
0.733333333,0.622437778,1,0.846153846,0.793127425,Yes
0.4,0.585417778,0.777777778,0.666666667,0.736537922,Yes
0.733333333,0.732395556,1,0.820512821,0.92388677,Yes
0,0.513786667,0.666666667,0.256410256,0.277330201,No
0.266666667,0.708615556,0.888888889,0.743589744,0.686393818,Yes
0.066666667,0.599395556,0.555555556,0.307692308,0.28726492,No
0.266666667,0.782144444,0.888888889,0.666666667,0.670363514,Yes
0.066666667,0.650468889,0.555555556,0.230769231,0.258626569,No
0.133333333,0.577588889,0.555555556,0.41025641,0.396697781,No
0,0.499426667,0.555555556,0.333333333,0.440642348,No
0.066666667,0.467017778,0.555555556,0.333333333,0.30586858,No
0,0.472695556,0.333333333,0.41025641,0.345977799,No
0.133333333,0.503975556,0.444444444,0.282051282,0.461039307,No
0,0.62966,0.333333333,0.307692308,0.417303084,No
0,0.485784444,0.444444444,0.153846154,0.325885604,No
0.133333333,0.426704444,0.555555556,0.205128205,0.193063459,No
0.066666667,0.478975556,0.555555556,0.230769231,0.127216663,No
0.8,0.785268889,1,0.820512821,0.982947246,Yes
0.2,0.777777778,0.666666667,0.256410256,0.565921448,Yes
0.066666667,0.480975556,0.555555556,0.256410256,0.182722737,No
0.333333333,0.888888889,0.777777778,0.641025641,0.724429266,Yes
0.4,0.777777778,0.888888889,0.564102564,0.57999251,Yes
0,0.380477778,0.555555556,0.384615385,0.359815012,No
0.4,0.522806667,0.777777778,0.538461538,0.478744154,Yes
0.533333333,0.723708889,1,0.897435897,0.95413435,Yes
0.2,0.524697778,0.666666667,0.282051282,0.18952666,Yes
0,0.469404444,0.777777778,0.153846154,0.147120436,No
0,0.573017778,0.666666667,0.282051282,0.252459337,No
0,0.557986667,0.777777778,0.230769231,0.297864489,No
0.466666667,0.685588889,1,0.897435897,0.863233685,Yes
0.333333333,0.754228889,0.666666667,0.538461538,0.55063085,Yes
0,0.509304444,0.666666667,0.205128205,0.321249759,No
0.6,0.719724444,1,0.692307692,0.799829944,Yes
0.066666667,0.538695556,0.555555556,0.205128205,0.392338808,No
0.2,0.333333333,0.666666667,0.230769231,0.091010845,No
0.133333333,0.490848889,0.666666667,0.205128205,0.152205818,No
0,0.468706667,0,0.333333333,0.403208012,No
0.066666667,0.487046667,0,0.179487179,0.318927647,No
0.266666667,0.749155556,0.333333333,0.58974359,0.615612203,Yes
0.333333333,0.7019,1,0.666666667,0.700689443,Yes
0.333333333,0.659975556,0.666666667,0.487179487,0.621054052,Yes
0,0.345477778,0.555555556,0.179487179,0.315012652,No
0.6,0.72898,1,0.871794872,0.764388274,Yes
0,0.585204444,0.333333333,0.076923077,0.244944174,No
0.466666667,0.742826667,1,0.897435897,0.913937005,Yes
0.666666667,0.714606667,1,0.871794872,0.813891996,Yes
0,0.222222222,0.444444444,0.230769231,0,No
0.066666667,0.436748889,0.666666667,0.179487179,0.147483808,No
0,0.111111111,0.444444444,0.256410256,0.039384265,No
0.333333333,0.740868889,0.888888889,0.512820513,0.575942854,Yes
0.066666667,0.450315556,0.777777778,0.205128205,0.366990977,No
0.266666667,0.749015556,0.777777778,0.538461538,0.581634221,Yes
0.533333333,0.742395556,1,0.897435897,0.872782829,Yes
0.066666667,0.593197778,0.777777778,0.205128205,0.412991876,Yes
0.133333333,0.496864444,0.666666667,0.205128205,0.151723648,No
0.333333333,0.723446667,0.888888889,0.538461538,0.531155104,Yes
0.6,0.762744444,1,0.871794872,0.762124573,Yes
0,0.609775556,0.666666667,0.307692308,0.494623294,No
0.866666667,0.803617778,1,1,0.900420392,Yes
0,0.573048889,0.444444444,0.333333333,0.486306543,No
0.2,1,0.666666667,0.538461538,0.706867404,Yes
0,0.624048889,0.444444444,0.076923077,0.31071273,No
0,0.411124444,0.444444444,0.358974359,0.162153327,No
0.066666667,0.520897778,0.555555556,0.256410256,0.385904159,No
0.4,0.624868889,0.666666667,0.615384615,0.550303123,Yes
0.2,0.465706667,0.555555556,0.153846154,0.108366907,Yes
0,0.410335556,0.444444444,0.461538462,0.527507188,No
0.066666667,0.541048889,0.666666667,0.205128205,0.37145373,No
0.466666667,0.7863,1,0.871794872,0.908960107,Yes
0.133333333,0.575148889,0.555555556,0.307692308,0.509900459,No
0,0.62776,0.666666667,0.205128205,0.267759839,No
0.2,0.888888889,0.666666667,0.230769231,0.546741659,Yes
0,0.341837778,0.666666667,0.282051282,0.306366556,No
0.066666667,0.617897778,0.555555556,0.358974359,0.501158513,Yes
0.133333333,0.373086667,0.444444444,0.102564103,0.309677235,No
0.266666667,0.670217778,0.888888889,0.615384615,0.718400902,Yes
0.466666667,0.685677778,1,0.692307692,0.743571176,Yes
0.133333333,0.50162,0.555555556,0.333333333,0.450564906,No
0.133333333,0.480175556,0.333333333,0.333333333,0.432725447,No
0.066666667,0.46722,0.444444444,0.205128205,0.101431966,No
0.333333333,0.604684444,0.777777778,0.205128205,0.427074357,Yes
0.333333333,0.742806667,0.777777778,0.743589744,0.877342236,Yes
0.4,0.723164444,0.777777778,0.666666667,0.769428048,Yes
0.333333333,0.222222222,0.777777778,0.435897436,0.132885738,Yes
0.8,0.644866667,1,0.871794872,0.704799252,Yes
0.066666667,0.601684444,0.777777778,0.153846154,0.175503276,No
0.2,0.416828889,0.444444444,0.333333333,0.449075527,No
0,0.421768889,0.666666667,0.256410256,0.074341898,No
0.466666667,0.809228889,1,0.974358974,0.936104024,Yes
0.466666667,0.715104444,1,0.871794872,0.933149496,Yes
0,0.488866667,0.555555556,0.128205128,0.139683826,No
0,0.56368,0.555555556,0.153846154,0.212372079,No
0.133333333,0.413075556,0.444444444,0.230769231,0.322381718,No
0.133333333,0.683128889,0.333333333,0.41025641,0.391127251,Yes
0.4,0.75834,0.666666667,0.461538462,0.513445592,Yes
0,0.660817778,0.555555556,0.205128205,0.474038209,No
0.066666667,0.549128889,0.444444444,0.282051282,0.225070284,No
0,0.511446667,0.777777778,0.205128205,0.146334826,No
0.266666667,0.700424444,0.888888889,0.794871795,0.785063869,Yes
0,0.578775556,0.333333333,0.256410256,0.256301115,No
0,0.379944444,0.444444444,0.153846154,0.264100255,No
0,0.6024,0.666666667,0.256410256,0.252160964,No
0.133333333,0.455008889,0.444444444,0.256410256,0.342883873,No
0,0.470875556,0.444444444,0.282051282,0.121486338,No
0.266666667,0.569175556,0.666666667,0.615384615,0.462769467,Yes
0.266666667,0.579624444,0.888888889,0.743589744,0.723862849,Yes
0.333333333,0.665964444,0.666666667,0.538461538,0.516884591,Yes
0.066666667,0.538937778,0.333333333,0.307692308,0.359649709,No
0.466666667,0.675575556,1,0.846153846,0.752047441,Yes
0,0.507475556,0.444444444,0.205128205,0.370098131,No
0.466666667,0.824537778,1,0.923076923,0.819897189,Yes
0,0.425315556,0.666666667,0.205128205,0.339037611,No
0,0.357975556,0.111111111,0.128205128,0.229809298,No
0.266666667,0.649375556,0.666666667,0.615384615,0.578150118,Yes
0.466666667,0.817497778,1,0.871794872,0.797350619,Yes
0.933333333,0.883846667,1,0.948717949,0.870914785,Yes
0.066666667,0.417186667,0.444444444,0.256410256,0.240249226,No
1,0.659666667,0.111111111,0.897435897,0.93924869,Yes
0,0.413646667,0.333333333,0.128205128,0.240506216,No
0,0.57032,0.444444444,0.128205128,0.377000815,No
0,0.529784444,0.333333333,0.41025641,0.326968621,No
0,0.488086667,0.444444444,0.307692308,0.32930269,No
0.133333333,0.396615556,0.333333333,0.461538462,0.520641965,No
0.266666667,0.640446667,0.888888889,0.615384615,0.703504012,Yes
0,0.525488889,0.777777778,0.179487179,0.353607242,No
0.466666667,0.73916,1,0.974358974,0.86606957,Yes
0.466666667,0.883046667,1,0.948717949,0.97480466,Yes
0,0.503566667,0.555555556,0.282051282,0.366700772,No
0,0.581917778,0.333333333,0.282051282,0.375018458,No
0,0.486855556,0.333333333,0.333333333,0.412289366,No
0,0.469944444,0.444444444,0.384615385,0.256036065,No
0,0.490737778,0.333333333,0.333333333,0.296522757,No
0.2,0.555555556,0.555555556,0.461538462,0.370985759,Yes
0,0.508035556,0.444444444,0.358974359,0.272484731,No
0.066666667,0.554148889,0.444444444,0.230769231,0.416750714,No
0.666666667,0.688866667,1,0.846153846,0.826367159,Yes
0.333333333,0.58204,0.777777778,0.538461538,0.432551046,Yes
0.866666667,0.845248889,1,0.769230769,0.759131182,Yes
0,0.493004444,0.333333333,0.282051282,0.453833591,No
0.333333333,0.683646667,1,0.666666667,0.568316702,Yes
0.266666667,0.222222222,0.777777778,0.564102564,0.261535448,Yes
0,0.484606667,0.333333333,0.333333333,0.296912839,No
0,0.706928889,0.555555556,0.256410256,0.342268407,No
0.466666667,0.886137778,1,0.897435897,0.979028326,Yes
0.133333333,0.4795,0.333333333,0.333333333,0.294175042,No
0.466666667,0.772555556,1,0.871794872,0.732434965,Yes
0.133333333,0.576408889,0.666666667,0.307692308,0.342967734,No
0.333333333,0,0.666666667,0.41025641,0.201554482,Yes
0,0.454806667,0.444444444,0.179487179,0.229253237,No
0.333333333,0.77432,0.888888889,0.641025641,0.770011169,Yes
0,0.486346667,0.555555556,0.435897436,0.303540144,No
0,0.463086667,0.333333333,0.512820513,0.34154159,No
0.666666667,0.7141,1,0.717948718,0.686171838,Yes
0.133333333,0.499135556,0.555555556,0.205128205,0.23005683,No
0.333333333,0.582486667,1,0.717948718,0.693171844,Yes
0.133333333,0.388764444,0.555555556,0.282051282,0.297244074,No
0.333333333,0.619006667,0.666666667,0.615384615,0.731998323,Yes
0,0.348595556,0.666666667,0.282051282,0.169867254,No
0,0.469737778,0.555555556,0.307692308,0.400772469,No
0,0.488346667,0.444444444,0.307692308,0.168189666,Yes
0.466666667,0.71112,1,0.871794872,0.736524677,Yes
0.066666667,0.63714,0.666666667,0.179487179,0.368536847,No
0.2,0.583315556,0.666666667,0.461538462,0.477029527,Yes
0.466666667,0.887935556,1,0.820512821,1,Yes
1,0.333333333,1,0.897435897,0.537583212,Yes
0,0.576077778,0.555555556,0.230769231,0.421104715,No
0,0.587737778,0.555555556,0.230769231,0.426939154,Yes
0.4,0.740044444,0.666666667,0.615384615,0.681916322,Yes
0.333333333,0.654655556,0.666666667,0.58974359,0.585172745,Yes
0.6,0.75428,0.222222222,0.820512821,0.936553306,Yes
